Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
cadre photo famille,EUR,500,900%,0%,High,100,0.005327491,0.019910122
toile personnalise,EUR,5000,0%,0%,High,100,0.008385697,0.030920119
cadeaux grands parents,EUR,5000,900%,0%,High,100,0.00143929,0.005196765
poster personnalisé photo,EUR,5000,0%,0%,High,100,0.007850731,0.022881611
cadre avec photo personnalisé,EUR,500,0%,0%,High,100,0.008334189,0.028253765
porte clé avec photo,EUR,500,0%,-90%,High,100,0.003951772,0.010766801
t shirt photo personnalisé,EUR,5000,0%,0%,High,100,0.006204105,0.014379858
cadre personnalisé photo,EUR,50000,900%,0%,High,100,0.008625307,0.026488475
photo lego personnalisé,EUR,500,0%,0%,High,100,0.002031958,0.007836061
cadre prenom personnalisé,EUR,500,0%,0%,High,100,0.003902546,0.011852707
idée cadeau photo,EUR,5000,0%,0%,High,100,0.003416806,0.013264613
sweat personnalisé photo,EUR,500,0%,0%,High,100,0.005957323,0.018079958
cadre toile personnalisé,EUR,500,0%,0%,High,100,0.008269315,0.032762996
lego photo personnalisé,EUR,500,0%,0%,High,100,0.002237012,0.009567447
cadeau pour grand parent,EUR,5000,900%,0%,High,100,0.00143929,0.005196765
impression photo sur tee shirt,EUR,500,0%,0%,High,100,0.006134341,0.018181996
cadeau noce de bois,EUR,500,0%,0%,High,100,0.002116718,0.009112025
toile famille personnalisé,EUR,500,0%,-90%,High,100,0.004421538,0.014560788
objets personnalisés photo,EUR,500,0%,0%,High,100,0.006398401,0.016112548
personnaliser coque,EUR,50000,0%,0%,High,100,0.003972962,0.010985547
tee shirt avec photo,EUR,500,0%,0%,High,100,0.005404101,0.014304878
plaque spotify personnalisable,EUR,50,0%,0%,High,100,0.006710383,0.01913685
oreiller personnalisé photo,EUR,500,0%,0%,High,100,0.005711845,0.017292668
cadeau personnalise photo,EUR,5000,0%,0%,High,100,0.005332381,0.013389145
portrait photo personnalisé,EUR,500,0%,0%,High,100,0.007484959,0.0221442
idée cadeau avec photo,EUR,500,900%,0%,High,100,0.004099124,0.012562083
cadre photo lumineux personnalisé,EUR,50,900%,0%,High,100,0.00377508,0.011205923
poster xxl personnalisé,EUR,500,0%,0%,High,100,0.005487883,0.01678476
porte cle personnalise avec photo,EUR,50,900%,0%,High,100,0.005133521,0.011303397
cadeau grand parents,EUR,5000,900%,0%,High,100,0.00143929,0.005196765
t shirt personnalisé avec photo,EUR,500,0%,0%,High,100,0.005949825,0.015323954
cadre photo spotify,EUR,50,900%,0%,High,99,0.007365643,0.019345816
cadre lumineux personnalisé,EUR,500,900%,0%,High,100,0.003591868,0.010993697
cadre en toile personnalisé,EUR,500,0%,0%,High,100,0.008269315,0.032762996
photo sur tee shirt,EUR,500,0%,0%,High,100,0.005512333,0.01758346
cadre photo famille personnalisé,EUR,500,0%,0%,High,100,0.004457724,0.016976774
livre personnalisé noel,EUR,500,0%,0%,High,100,0.006955535,0.032264216
photo porte clé,EUR,5000,900%,0%,High,100,0.004247454,0.011230373
cadre couple personnalisé,EUR,500,0%,0%,High,100,0.004323412,0.011901607
photo personnalisée,EUR,500,0%,0%,High,100,0.007679581,0.020947128
idée cadeau anniversaire de mariage,EUR,5000,0%,0%,High,100,0.00152405,0.006206387
cadeau noel grand parent,EUR,500,900%,0%,High,100,0.001707262,0.005691307
imprimer photo sur tee shirt,EUR,500,0%,0%,High,100,0.005167099,0.016763244
plaque photo personnalisé,EUR,50,900%,0%,High,100,0.006692779,0.019692354
noce de coton cadeau,EUR,5000,-90%,0%,High,100,0.00169846,0.004963023
tee shirt personnalisé photo pas cher,EUR,500,0%,0%,High,100,0.004571823,0.011750343
objet photo personnalisé original,EUR,50,900%,0%,High,100,0.004962697,0.014728678
porte clés personnalisé photo recto verso,EUR,500,900%,0%,High,100,0.004571171,0.010887747
porte cle photo personnalisable,EUR,5000,0%,0%,High,100,0.004858051,0.011343495
lego personnalisé photo,EUR,500,0%,0%,High,100,0.001864394,0.007683493
cadre photo personnalisé gravé,EUR,500,0%,-90%,High,100,0.005675333,0.018152656
cadre photo personnalisé avec texte,EUR,50,0%,0%,High,100,0.005546563,0.018055508
porte clé photo gravé,EUR,500,0%,0%,High,100,0.003766278,0.009442915
livre de noel personnalisé,EUR,50,0%,0%,High,100,0.005502227,0.019455352
plaque personnalisée spotify,EUR,50,0%,0%,High,100,0.005193179,0.01546283
cadeaux photos personnalisés,EUR,5000,0%,0%,High,100,0.006162703,0.015468046
photo personnalisé sur toile,EUR,5000,0%,0%,High,100,0.009939413,0.03474312
cadeau avec photo personnalisé,EUR,500,900%,0%,High,100,0.004990733,0.012911881
photo cadre cadeau,EUR,500,0%,-90%,High,100,0.009772827,0.029822803
livre noel personnalisé,EUR,500,0%,0%,High,100,0.006955535,0.032264216
portrait de famille personnalisé,EUR,500,0%,0%,High,100,0.003395942,0.012651081
idée cadeau grand parents,EUR,5000,900%,0%,High,100,0.001192834,0.004571823
cadre photo personnalisé avec prénom,EUR,500,0%,0%,High,99,0.004331236,0.013661028
cadeau personnalisé noel,EUR,500,0%,-90%,High,100,0.003084938,0.010508935
zippo personnalisé photo,EUR,50,900%,0%,High,99,0.002708408,0.008868177
cadeau original maman,EUR,500,900%,0%,High,100,0.001862438,0.007781293
porte clé photo recto verso,EUR,500,900%,0%,High,100,0.004680381,0.011932251
cadre photo personnalisé lumineux,EUR,500,0%,-90%,High,100,0.004455442,0.012377567
tee shirt personnalisé avec photo,EUR,500,0%,0%,High,100,0.005903207,0.014978068
tee shirt personnalisé photo et texte,EUR,500,0%,0%,High,99,0.005536131,0.013630711
cadeau noce de froment,EUR,5000,0%,0%,High,99,0.001962194,0.005445177
photo poster personnalisé,EUR,5000,0%,0%,High,100,0.007850731,0.022881611
cadeau noce de cuir,EUR,500,0%,0%,High,100,0.002466842,0.006942169
photo personnalisé cadre,EUR,50000,900%,0%,High,100,0.008625307,0.026488475
coque photo personnalisée,EUR,500,0%,-90%,High,100,0.004883805,0.011436405
plaque spotify personnalisée,EUR,50,900%,0%,High,100,0.005091467,0.015727542
boule de noël personnalisé,EUR,5000,900%,0%,High,100,0.003837672,0.008945765
boule de noël personnalisée mon premier noël,EUR,50,900%,0%,High,100,0.002549646,0.007786509
porte clé gravé photo,EUR,500,0%,0%,High,100,0.003766278,0.009442915
cadeau noces de coton,EUR,500,-90%,-90%,High,100,0.001693244,0.004419908
cadeau noce de cire,EUR,500,0%,0%,High,100,0.001814516,0.004925207
cadeau cadre photo personnalisé,EUR,500,900%,0%,High,100,0.007705987,0.021816244
poster geant personnalisé,EUR,50,900%,0%,High,100,0.004837839,0.014886788
cadeau homme personnalisé photo,EUR,50,900%,0%,High,100,0.003379642,0.009228081
tee shirt photo personnalisé,EUR,5000,0%,0%,High,100,0.005711193,0.013267221
impression photo personnalisé,EUR,500,900%,0%,High,100,0.013089877,0.033005214
impression toile personnalisée,EUR,500,0%,0%,High,100,0.008570865,0.032610428
cadeau papy mamie,EUR,500,900%,0%,High,100,0.001904492,0.006105653
portrait personnalisé famille,EUR,50,900%,0%,High,100,0.003809962,0.013773498
cadeau photo fete des peres,EUR,500,0%,0%,High,100,0,0
cadeau noces de bois,EUR,500,-90%,0%,High,100,0.002617128,0.014223378
porte clé personnalisé photo et texte,EUR,50,0%,0%,High,100,0.002796428,0.007752279
cadre photo personnalisé pas cher,EUR,50,900%,0%,High,100,0.006486421,0.02189807
personnalisé photo,EUR,5000,0%,0%,High,100,0.007870291,0.02201217
toile xxl personnalisée,EUR,50,0%,-90%,High,100,0.004760251,0.018213292
impression sur toile personnalisée,EUR,500,0%,0%,High,100,0.008570865,0.032610428
idée cadeau anniversaire mariage,EUR,500,0%,0%,High,100,0.001777678,0.007138747
toile photo personnalisé pas cher,EUR,50,900%,0%,High,100,0.008371679,0.028683107
ecocup personnalisé photo,EUR,50,0%,0%,High,100,0.00350776,0.013599415
idée cadeau original pour grand parents,EUR,500,900%,0%,High,100,0.001379958,0.005366611
cadre photo toile personnalisé,EUR,50,900%,0%,High,100,0.009536151,0.03621501
cadre photo personnalisable,EUR,500,0%,0%,High,100,0.008336145,0.025978611
porte clés gravure photo,EUR,500,0%,0%,High,100,0.003766278,0.009442915
porte clé photo fete des peres,EUR,50,0%,-100%,Unknown,,0,0
impression photo cadeau,EUR,50,900%,0%,High,100,0.009081381,0.026316673
cadeau noces d or,EUR,500,0%,0%,High,100,0.001460806,0.005394973
idee cadeau personnalisé photo,EUR,500,0%,0%,High,100,0.004385026,0.011655151
cadeau photo fete des meres,EUR,500,0%,0%,High,100,0,0
imprimer une photo sur un tee shirt,EUR,500,0%,0%,High,100,0.005167099,0.016763244
livre photo cadeau,EUR,50,900%,0%,High,100,0.01375459,0.054446558
objet personnalisé avec photo,EUR,500,900%,0%,High,100,0.004770683,0.012818971
t shirt avec photo personnalisé,EUR,500,0%,0%,High,100,0.005949825,0.015323954
photo cadeau personnalisé,EUR,5000,0%,0%,High,100,0.006162703,0.015468046
chaussettes avec photo personnalisé,EUR,500,900%,0%,High,100,0.003794966,0.012557845
photo cadeau noel,EUR,500,900%,0%,High,100,0.007469963,0.024762305
toile personnalisée pas cher,EUR,50,0%,-90%,High,100,0.008448941,0.029982217
cadeau pour anniversaire de mariage,EUR,5000,-90%,-90%,High,100,0.001986644,0.007493435
toile imprimée personnalisée,EUR,50,0%,0%,High,100,0.008282355,0.030943917
badge personnalisé photo,EUR,500,0%,0%,High,100,0.004329606,0.010235095
idée cadeau anniversaire de mariage couple,EUR,500,0%,0%,High,100,0.002435546,0.008498167
cadeau cadre photo,EUR,500,0%,-90%,High,100,0.009772827,0.029822803
cadre personnalisé avec plusieurs photos,EUR,50,900%,0%,High,100,0.006964337,0.02185895
taie oreiller personnalisé,EUR,500,0%,0%,High,100,0.004289182,0.010641291
cadre sur toile personnalisé,EUR,500,0%,0%,High,100,0.008269315,0.032762996
bob personnalisé photo,EUR,500,0%,-90%,High,100,0.004273208,0.010385055
objet personnalisable photo,EUR,500,0%,0%,High,100,0.006398401,0.016112548
cadeau fete des meres photo,EUR,500,0%,0%,High,100,0,0
idée cadeau noce de coton,EUR,500,0%,0%,High,100,0.001991208,0.005764331
cadre photo plexiglas personnalisé,EUR,50,0%,0%,High,100,0.006238335,0.029819217
cadeau anniversaire mariage homme,EUR,500,0%,0%,High,100,0.00187287,0.006061969
cadre personnalisé naissance,EUR,500,0%,-90%,High,100,0.003006372,0.010290189
noce de bois cadeau,EUR,500,0%,0%,High,100,0.002116718,0.009112025
photo sur bois personnalisé,EUR,50,0%,0%,High,100,0.006768411,0.018885504
idee cadeau noel grand parent,EUR,500,900%,0%,High,100,0.001373112,0.005079731
cadeau original avec photo,EUR,50,900%,0%,High,100,0.003739872,0.010488071
cadeau d anniversaire de mariage,EUR,500,-90%,-90%,High,99,0.00216627,0.007389767
idée cadeau photo personnalisé,EUR,500,900%,0%,High,100,0.004817301,0.014016694
photo personnalisé famille,EUR,50,900%,0%,High,100,0.005452675,0.016443112
photos aimantées personnalisé,EUR,500,0%,0%,High,100,0.007115927,0.018636766
cadre a personnaliser,EUR,500,0%,0%,High,100,0.005140367,0.013143667
photo famille personnalisé,EUR,500,0%,0%,High,100,0.004142482,0.015086952
photo aimantée personnalisée,EUR,500,0%,0%,High,100,0.007115927,0.018636766
noce de froment cadeau,EUR,5000,0%,0%,High,99,0.001962194,0.005445177
photo avec cadre personnalisé,EUR,50,0%,0%,High,100,0.010967617,0.031558753
t shirt personnalisé photo et texte,EUR,50,900%,900%,High,100,0.005125371,0.013969424
cadeau photo noel,EUR,500,900%,0%,High,100,0.007469963,0.024762305
boule mon premier noël personnalisée,EUR,50,900%,0%,High,99,0.002608326,0.008600857
poster couple personnalisé,EUR,50,900%,0%,High,100,0.004658539,0.010720509
memory photo personnalisé,EUR,50,0%,0%,High,100,0.006369387,0.021825698
idee cadeau noel personnalisé,EUR,500,0%,0%,High,100,0.002963666,0.009947563
toile a personnaliser,EUR,50,0%,-90%,High,100,0.006782755,0.023503293
objets photos personnalisés,EUR,5000,0%,0%,High,100,0.005351615,0.013401533
cadre photo personnalisé couple,EUR,500,0%,0%,High,100,0.005630671,0.01664784
cadeau pour ma maman,EUR,500,0%,0%,High,100,0.002322424,0.008625307
cadre photo personnalisé livraison rapide,EUR,50,0%,0%,High,100,0.005841593,0.021063836
idée cadeau pour sa maman,EUR,500,900%,0%,High,100,0.001876782,0.007745759
cadre photo sur toile personnalisé,EUR,50,0%,0%,High,100,0.006983245,0.033194294
objet a personnaliser avec photo,EUR,50,0%,0%,High,100,0.004714285,0.014253044
coque personnalisée plusieurs photos,EUR,50,0%,-90%,High,100,0.004394154,0.014958182
cadre personnalisé papa,EUR,50,900%,0%,High,100,0.004572149,0.011758493
tee shirt personnalisé photo recto verso,EUR,50,900%,900%,High,100,0.005050717,0.013617671
cadeau personnalisé grand parent,EUR,500,900%,0%,High,100,0.003230334,0.009418465
cadre personnalisé fete des peres,EUR,50,0%,0%,Low,0,0,0
boule personnalisée noel,EUR,500,900%,0%,High,100,0.003348672,0.008945765
cadeaux noel personnalisé,EUR,500,0%,0%,High,100,0.003379642,0.010375275
cadeau anniversaire de mariage homme,EUR,500,0%,0%,High,100,0.00178648,0.005600679
cadeau fete des peres photo,EUR,500,0%,0%,High,100,0,0
cadre photo personnalisée,EUR,500,0%,0%,High,100,0.008682357,0.027356613
fete des meres cadeau original,EUR,5000,0%,-90%,High,78,0.001648908,0.005991879
poster multi photo personnalisé,EUR,50,0%,0%,High,100,0.008374287,0.027787911
cadre photo naissance,EUR,500,0%,0%,High,100,0.00302528,0.013624517
cadeau avec photo personnalisé pas cher,EUR,50,0%,0%,High,100,0.004639957,0.011747735
porte clé personnalisé gravé photo,EUR,50,?,0%,High,100,0.004852835,0.009442915
porte cle personnalise photo,EUR,5000,0%,0%,High,100,0.004659517,0.011232003
cadeau photo personnalisé suisse,EUR,50,0%,0%,Unknown,,0,0
grand poster personnalisé,EUR,50,0%,0%,High,100,0.005489513,0.016634474
livre personnalisé papa avec photo,EUR,50,0%,0%,High,100,0.006447301,0.023402559
photo avec texte personnalisé,EUR,500,0%,0%,High,100,0.005786499,0.012813429
chaussettes personnalisées livraison rapide,EUR,500,900%,0%,High,100,0.00395275,0.011325891
porte monnaie personnalisé photo,EUR,50,0%,-90%,High,100,0.003500914,0.008575429
cadre photo mariage personnalisé,EUR,500,0%,0%,High,100,0.004578995,0.01789153
cahier personnalisé photo,EUR,500,900%,0%,High,100,0.007943315,0.028014155
porte clé personnalisé photo gravé,EUR,50,0%,0%,High,100,0.002971164,0.007810959
coque photo personnalisé,EUR,500,0%,-90%,High,100,0.004883805,0.011436405
tee shirt avec photo personnalisé,EUR,500,0%,0%,High,100,0.005903207,0.014978068
toile murale personnalisée,EUR,50,900%,900%,High,100,0.005795627,0.023587401
impression photo tee shirt,EUR,50,0%,0%,High,100,0.005882343,0.016962756
cadre photo personnalisé bois,EUR,50,0%,-90%,High,100,0.005782913,0.013997786
photo encadrée personnalisée,EUR,50,900%,900%,High,100,0.014490698,0.039742982
cadeau personnalisable photo,EUR,5000,0%,0%,High,100,0.005332381,0.013389145
cadeau cadre personnalisé,EUR,50,900%,0%,High,100,0.006294407,0.01712869
idée de cadeau pour la fête des mères,EUR,5000,-90%,-90%,High,94,0,0
cadeau de noel grand parents,EUR,500,900%,0%,High,100,0.001766268,0.006415353
coque avec photo personnalisé pas cher,EUR,50,0%,0%,High,100,0,0
noce de coton cadeau homme,EUR,500,-90%,-90%,High,100,0.001279876,0.003884616
cadre personnalisé mamie,EUR,500,900%,0%,High,100,0.004863593,0.012776591
noces de bois cadeau,EUR,500,0%,0%,High,100,0.002116718,0.009112025
memory personnalisé photo,EUR,50,0%,0%,High,100,0.006369387,0.021825698
taie d oreiller personnalisée photo,EUR,50,0%,0%,High,100,0.005065713,0.009992551
cadeau personnalise avec photo,EUR,500,900%,0%,High,100,0.004990733,0.012911881
sweat personnalisé brodé photo,EUR,50,0%,0%,High,100,0.005074841,0.017483052
cadeau noces de froment,EUR,500,0%,0%,High,100,0.001728452,0.004232458
poster photo personnalisé avec texte,EUR,50,0%,0%,High,100,0.007215031,0.020306538
idée cadeau anniversaire mariage parents,EUR,500,-90%,-90%,High,100,0.001703676,0.005676311
cadre photo prenom,EUR,50,900%,0%,High,100,0.004371008,0.015616702
cadeau noce d étain,EUR,500,-90%,-90%,High,100,0.001335622,0.004002302
cadeau noce de laine,EUR,500,0%,0%,High,100,0.001714434,0.005841593
noce de cire cadeau,EUR,500,0%,0%,High,100,0.001814516,0.004925207
porte clé personnalisé avec photo,EUR,50,900%,0%,High,100,0.005133521,0.011303397
tee shirt personnalise photo,EUR,500,0%,0%,High,100,0.007064419,0.015322324
cube personnalisé photo,EUR,500,900%,0%,High,100,0.004172148,0.014842452
cadeau personnalisé avec photo et texte,EUR,500,0%,0%,High,100,0.004160086,0.009476819
gobelet personnalisé photo pas cher,EUR,50,0%,0%,High,100,0.003773124,0.012128829
gobelet personnalisé anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
cadeaux de noël personnalisés,EUR,500,0%,0%,High,100,0.002759916,0.012700959
photo personnalisé avec texte,EUR,500,0%,0%,High,100,0.005786499,0.012813429
poster aimanté personnalisé,EUR,50,0%,0%,High,86,0.005745423,0.01674075
plaque spotify personnalisé pas cher,EUR,50,0%,-100%,Unknown,,0,0
coque personnalisée photobox,EUR,50,0%,0%,High,100,0.004344928,0.009145929
grand cadre personnalisé,EUR,50,0%,0%,High,100,0.007877463,0.022356752
idée cadeau 1 an de mariage pour homme,EUR,500,0%,0%,High,100,0.001841248,0.006673219
cadeau fete des meres original,EUR,5000,0%,-90%,High,78,0.001648908,0.005991879
cadeau personnalisé photo et texte,EUR,50,?,0%,High,100,0.003047774,0.010458405
cadre de naissance personnalisé,EUR,500,0%,0%,High,100,0.002190068,0.008677793
idee cadeau 1 an mariage,EUR,500,0%,0%,High,100,0.002285912,0.004910537
cadre photo naissance personnalisé,EUR,500,0%,0%,High,100,0.002995614,0.01659894
t shirt brodé personnalisé photo,EUR,500,900%,0%,High,100,0.005333685,0.013924436
plaque personnalisée photo,EUR,50,900%,900%,High,100,0.005502227,0.012553281
cadeau fete des mere original,EUR,5000,0%,-90%,High,78,0.001648908,0.005991879
cadeau saint valentin photo,EUR,50,0%,0%,High,100,0,0
peignoir personnalisé photo,EUR,50,900%,0%,High,100,0.004108578,0.009988965
objet avec photo personnalisé,EUR,500,900%,0%,High,100,0.004770683,0.012818971
poster cadre personnalisé,EUR,50,0%,0%,High,100,0.005354875,0.016514832
cadeau original fête des mères,EUR,500,0%,0%,High,100,0,0
plaque émaillée personnalisée avec photo,EUR,50,0%,0%,High,100,0.002661138,0.008300937
cadre photo a offrir,EUR,50,900%,0%,High,100,0.007470941,0.024407617
cadeau personnalisé femme photo,EUR,50,900%,0%,High,100,0.004060004,0.010575439
chaussettes photo personnalisée,EUR,50,0%,-90%,High,100,0.006362541,0.013305363
cadre photo personnalisé fete des meres,EUR,50,0%,0%,High,100,0,0
poster toile personnalisé,EUR,50,0%,0%,High,100,0.007801831,0.029807155
personnaliser cadre photo,EUR,50000,900%,0%,High,100,0.008625307,0.026488475
cadeau noces de cuir,EUR,500,0%,0%,High,100,0.00139691,0.007619597
cadeau photo mamie,EUR,50,900%,0%,High,100,0.004831319,0.013796318
idee cadeau papy mamie,EUR,500,900%,0%,High,100,0.001576536,0.004820235
cadeau grand parent noel,EUR,500,900%,0%,High,100,0.0016137,0.005760745
coque portable personnalisée photo,EUR,50,0%,0%,High,100,0.006356999,0.012130133
sweat brodé personnalisé photo,EUR,50,900%,0%,High,100,0.005406383,0.014382466
personnaliser t shirt avec photo,EUR,500,0%,0%,High,100,0.005949825,0.015323954
chaussettes personnalisées texte photo,EUR,50,0%,0%,High,100,0.002116718,0.006810139
cadre photo bois personnalisé,EUR,500,0%,0%,High,100,0.004395132,0.015680272
noce de cuir cadeau,EUR,500,0%,0%,High,100,0.002466842,0.006942169
cadre personnalisé maman,EUR,500,900%,0%,High,100,0.004727325,0.010774951
cadre mariage personnalisé,EUR,500,0%,0%,High,100,0.002986812,0.011445859
cadre personnalisé mariage,EUR,500,0%,0%,High,100,0.002986812,0.011445859
idee cadeau pour grand parent,EUR,500,900%,0%,High,100,0.001103836,0.00453466
offrir un cadre photo personnalisé,EUR,50,0%,0%,High,100,0.009234275,0.022648848
chaussettes visage personnalisées,EUR,50,900%,0%,High,100,0.004382418,0.012445375
cadeau 1 an mariage,EUR,500,-90%,0%,High,100,0.001625762,0.004685923
cadeau pour la fete des grand mere,EUR,5000,0%,-90%,High,100,0.002247444,0.008634109
porte monnaie homme personnalisé photo,EUR,50,0%,0%,High,100,0.004063916,0.010358975
personnaliser une coque,EUR,50,0%,0%,High,100,0.003690646,0.009382931
boite anniversaire personnalisée,EUR,500,-90%,0%,High,100,0.003476464,0.008877957
cahier photo personnalisé,EUR,500,900%,0%,High,100,0.007943315,0.028014155
cadre personnalisé spotify,EUR,50,0%,0%,High,100,0.005968407,0.016285328
cadre avec plusieurs photo personnalisé,EUR,50,0%,-90%,High,100,0.007980479,0.025019193
toile photo personnalisé avec texte,EUR,50,0%,0%,High,100,0.005308257,0.025304769
toile panoramique personnalisée,EUR,50,0%,0%,High,100,0.003780296,0.017814268
idée de cadeau pour sa maman,EUR,500,0%,-90%,High,100,0.002362196,0.007341519
cadre multi photo personnalisé,EUR,50,900%,900%,High,100,0.006989439,0.027755637
idée cadeau 1 an de mariage,EUR,500,-90%,0%,High,100,0.001692592,0.004331236
cadeau nounou avec photo,EUR,50,0%,0%,High,100,0.002351112,0.009356199
porte clé papa personnalisé photo,EUR,50,0%,0%,High,100,0.004419582,0.010080245
photo personnalisée sur toile,EUR,5000,0%,0%,High,100,0.009939413,0.03474312
cadeau avec des photos,EUR,500,900%,0%,High,100,0.004950961,0.013925414
objet personnalisé photo pas cher,EUR,500,0%,0%,High,100,0.004133028,0.011917255
photo spotify personnalisé,EUR,50,0%,0%,High,100,0.006265067,0.012944481
cadeau personnalisé papy mamie,EUR,50,900%,0%,High,100,0.003578176,0.011743171
tee shirt homme personnalisé photo,EUR,50,0%,0%,High,100,0.004504668,0.012536329
cadeau livre photo,EUR,50,900%,0%,High,100,0.01375459,0.054446558
